id_filme,titulo,data_lancamento,media_avaliacoes,numero_avaliacoes,popularidade,idioma_original,generos,diretor,roteirista
1244944,A Mulher no Jardim,2025-03-27,6.14,203,25.8702,en,"Terror, Mistério",Jaume Collet-Serra,Sam Stefanak
1093237,Hurry Up Tomorrow: Além dos Holofotes,2025-05-14,5.459,74,22.5419,en,"Música, Thriller",Trey Edward Shults,Trey Edward Shults
1045938,G20,2025-04-10,6.555,528,25.9758,en,"Ação, Mistério, Drama",Patricia Riggen,Logan Miller
361743,Top Gun: Maverick,2022-05-21,8.175,9922,26.5631,en,"Ação, Drama",Joseph Kosinski,Eric Warren Singer
346698,Barbie,2023-07-19,7.0,9984,24.5173,en,"Comédia, Aventura",Greta Gerwig,Noah Baumbach
346698,Barbie,2023-07-19,7.0,9984,24.5173,en,"Comédia, Aventura",Greta Gerwig,Noah Baumbach
634649,Homem-Aranha: Sem Volta Para Casa,2021-12-15,7.944,20823,24.3701,en,"Ação, Aventura, Ficção científica",Jon Watts,Chris McKenna
9286,Premonição 3,2006-02-09,6.134,4158,25.6071,en,"Terror, Mistério",James Wong,James Wong
927342,Major Imortal,2024-10-31,7.371,232,25.267,ta,"Ação, Drama, Aventura, Guerra",Rajkumar Periasamy,Rajkumar Periasamy
845781,Operação Natal,2024-10-31,7.041,2548,25.5263,en,"Ação, Comédia, Fantasia",Jake Kasdan,Chris Morgan
638507,Como Treinar o Seu Dragão: Volta ao Lar,2019-12-03,8.032,1022,25.4246,en,"Animação, Fantasia, Aventura, Ação, Família",Tim Johnson,Jonathan Groff
411,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",2005-12-07,7.132,10945,25.8825,en,"Aventura, Família, Fantasia",Andrew Adamson,Andrew Adamson
672,Harry Potter e a Câmara Secreta,2002-11-13,7.708,22585,25.4739,en,"Aventura, Fantasia",Chris Columbus,Steve Kloves
385687,Velozes & Furiosos 10,2023-05-17,7.038,5920,25.0382,en,"Ação, Crime, Thriller, Aventura, Mistério",Louis Leterrier,Dan Mazeau
957,S.O.S.: Tem um Louco Solto no Espaço,1987-06-24,6.842,3108,22.6306,en,"Comédia, Ficção científica",Mel Brooks,Mel Brooks
808,Shrek,2001-05-18,7.752,17741,22.5404,en,"Animação, Comédia, Fantasia, Aventura, Família",Vicky Jenson,Terry Rossio
11,Guerra nas Estrelas,1977-05-25,8.205,21233,21.6614,en,"Aventura, Ação, Ficção científica",George Lucas,George Lucas
573435,Bad Boys: Até o Fim,2024-06-05,7.4,2940,23.3608,en,"Ação, Comédia, Crime, Thriller, Aventura",Bilall Fallah,Chris Bremner
9358,Premonição 2,2003-01-31,6.286,4399,25.5484,en,"Terror, Mistério",David R. Ellis,J. Mackye Gruber
1356039,Contra-Ataque,2025-02-27,8.318,700,22.9083,es,"Ação, Aventura, Thriller",Chava Cartas,José Rubén Escalante Méndez
674,Harry Potter e o Cálice de Fogo,2005-11-16,7.8,21223,24.4555,en,"Aventura, Fantasia",Mike Newell,Steve Kloves
19912,Premonição 4,2009-08-26,5.619,3538,24.4196,en,"Terror, Mistério",David R. Ellis,Eric Bress
50433,L'alcova,1985-01-21,5.2,32,22.8146,it,"Drama, Romance, Thriller",Joe D'Amato,Ugo Moretti
120,O Senhor dos Anéis: A Sociedade do Anel,2001-12-18,8.422,26047,23.3138,en,"Aventura, Fantasia, Ação",Peter Jackson,Philippa Boyens
1125899,Cleaner,2025-02-19,6.532,285,22.8392,en,"Ação, Thriller",Martin Campbell,Paul Andrew Williams
496243,Parasita,2019-05-30,8.5,19141,21.0543,ko,"Comédia, Thriller, Drama",Bong Joon Ho,Han Jin-won
8966,Crepúsculo,2008-11-20,6.286,13827,22.7782,en,"Fantasia, Drama, Romance",Catherine Hardwicke,Melissa Rosenberg
502356,Super Mario Bros. O Filme,2023-04-05,7.619,9751,22.1269,en,"Família, Comédia, Aventura, Animação",Aaron Horvath,Matthew Fogel
1247002,파과,2025-04-30,6.444,9,22.5659,ko,"Ação, Mistério, Drama",Min Kyu-dong,Min Kyu-dong
1147416,"Miraculous World: Londres, Corrida Contra o Tempo",2024-11-14,7.4,268,22.0618,fr,"Animação, Aventura, Ação, Fantasia",Thomas Astruc,Thomas Astruc
603,Matrix,1999-03-31,8.227,26468,22.074,en,"Ação, Ficção científica",Lilly Wachowski,Lilly Wachowski
1317159,Vejen hjem,2024-11-28,6.923,13,21.5749,da,"Drama, Thriller",Charlotte Sieling,Charlotte Sieling
954,Missão: Impossível,1996-05-22,7.002,9323,22.553,en,"Aventura, Ação, Thriller",Brian De Palma,David Koepp
1405338,Demon City,2025-02-26,7.027,244,22.4526,ja,"Ação, Crime, Fantasia, Thriller",Seiji Tanaka,Seiji Tanaka
1165642,Separados pelas Estrelas,2025-05-30,7.343,54,21.995,ko,"Animação, Romance, Ficção científica",Han Ji-won,Han Ji-won
269149,Zootopia: Essa Cidade é o Bicho,2016-02-11,7.747,16732,21.2442,en,"Animação, Aventura, Família, Comédia",Rich Moore,Jared Bush
1118031,Apocalipse Z: O Princípio do Fim,2024-10-04,6.743,1087,21.7195,es,"Drama, Ação, Terror",Carles Torrens,Ángel Agudo
1245165,Viagem de Formatura: Mallorca,2025-05-30,5.408,38,20.9246,es,Comédia,Paco Caballero,Eric Navarro
1128655,O Surfista,2025-04-11,6.2,72,18.7384,en,"Drama, Thriller",Lorcan Finnegan,Thomas Martin
76600,Avatar: O Caminho da Água,2022-12-14,7.611,12615,20.3172,en,"Ficção científica, Aventura, Ação",James Cameron,James Cameron
315162,Gato de Botas 2: O Último Pedido,2022-12-07,8.215,8246,21.2997,en,"Animação, Aventura, Fantasia, Comédia, Família",Joel Crawford,Paul Fisher
315162,Gato de Botas 2: O Último Pedido,2022-12-07,8.215,8246,21.2997,en,"Animação, Aventura, Fantasia, Comédia, Família",Joel Crawford,Paul Fisher
1318856,Un mariage sans fin,2025-05-30,4.603,34,20.3022,fr,"Comédia, Romance, Fantasia",Patrick Cassir,Patrick Cassir
957119,Sidelined: QB e Eu,2025-02-06,6.129,66,20.4391,en,"Comédia, Romance",Justin Wu,Mary Gulino
438631,Duna,2021-09-15,7.781,13624,19.728,en,"Ficção científica, Aventura",Denis Villeneuve,Eric Roth
1249213,Drop: Ameaça Anônima,2025-04-10,6.46,413,21.8399,en,"Mistério, Thriller",Christopher Landon,Jillian Jacobs
550,Clube da Luta,1999-10-15,8.438,30369,19.9467,en,Drama,David Fincher,Jim Uhls
673,Harry Potter e o Prisioneiro de Azkaban,2004-05-31,8.012,22164,23.2415,en,"Aventura, Fantasia",Alfonso Cuarón,Steve Kloves
48650,Um Quarto em Roma,2010-05-07,6.407,774,20.5928,es,"Drama, Romance",Julio Medem,Julio Medem
138843,Invocação do Mal,2013-07-18,7.54,11897,20.7551,en,"Terror, Thriller",James Wan,Carey Hayes
1297763,Batman Ninja vs. Liga da Yakuza,2025-03-17,6.709,163,21.1869,ja,"Animação, Ação",Shinji Takagi,Kazuki Nakashima
429,Três Homens em Conflito,1966-12-22,8.462,9030,19.259,it,Faroeste,Sergio Leone,Luciano Vincenzoni
18785,"Se Beber, Não Case!",2009-06-02,7.324,17289,20.1168,en,Comédia,Todd Phillips,Jon Lucas
748783,Garfield - Fora de Casa,2024-04-30,7.055,1279,19.3248,en,"Família, Comédia, Aventura, Animação",Mark Dindal,Mark Torgove
507086,Jurassic World: Domínio,2022-06-01,6.7,6414,21.2292,en,"Aventura, Ação, Ficção científica",Colin Trevorrow,Emily Carmichael
21316,Leroy & Stitch,2006-06-23,6.554,559,18.4358,en,"Animação, Comédia, Família, Cinema TV",Bobs Gannaway,Bobs Gannaway
611251,女高生トリオ 性感試験,1977-02-23,0.0,0,18.7286,ja,"Romance, Drama",Nobuaki Shirai,Akira Nakano
